uniprot_acc	uniprot_name	seq_len	uniprot_description	uniprot_organism	seq_mw
O75688	PPM1B	479	Protein phosphatase 1B	HUMAN	61254.6499999999
O75689	ADAP1	374	Arf-GAP with dual PH domain-containing protein 1	HUMAN	50115.52
O75690	KRTAP5-8	187	Keratin-associated protein 5-8	HUMAN	20870.6
O75691	UTP20	2785	Small subunit processome component 20 homolog	HUMAN	368545.099999999
O75694	NUP155	1391	Nuclear pore complex protein Nup155	HUMAN	180242.969999999
O75695	RP2	350	Protein XRP2	HUMAN	45928.97
O75711	SCRG1	98	Scrapie-responsive protein 1	HUMAN	12828.82
O75712	GJB3	270	Gap junction beta-3 protein	HUMAN	35664.64
O75715	GPX5	221	Epididymal secretory glutathione peroxidase	HUMAN	29165.97
O75716	STK16	305	Serine/threonine-protein kinase 16	HUMAN	40133.23
O75717	WDHD1	1129	WD repeat and HMG-box DNA-binding protein 1	HUMAN	146290.41
O75718	CRTAP	401	Cartilage-associated protein	HUMAN	53768.6900000001
O75746	SLC25A12	678	Calcium-binding mitochondrial carrier protein Aralar1	HUMAN	86959.47
O75747	PIK3C2G	1445	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit gamma	HUMAN	191731.029999999
O75751	SLC22A3	556	Solute carrier family 22 member 3	HUMAN	71279.69
O75752	B3GALNT1	331	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1	HUMAN	45457.41
O75762	TRPA1	1119	Transient receptor potential cation channel subfamily A member 1	HUMAN	147644.279999999
O75764	TCEA3	348	Transcription elongation factor A protein 3	HUMAN	45223.47
O75771	RAD51D	328	DNA repair protein RAD51 homolog 4	HUMAN	40941.03
O75781	PALM	387	Paralemmin-1	HUMAN	49030.42
O75783	RHBDL1	438	Rhomboid-related protein 1	HUMAN	56187.52
O75787	ATP6AP2	350	Renin receptor	HUMAN	45295.91
O75791	GRAP2	330	GRB2-related adapter protein 2	HUMAN	43836.75
O75792	RNASEH2A	299	Ribonuclease H2 subunit A	HUMAN	38763.94
O75794	CDC123	336	Cell division cycle protein 123 homolog	HUMAN	45170.48
O75795	UGT2B17	530	UDP-glucuronosyltransferase 2B17	HUMAN	70626.3900000001
O75800	ZMYND10	440	Zinc finger MYND domain-containing protein 10	HUMAN	58253.3600000001
O75807	PPP1R15A	674	Protein phosphatase 1 regulatory subunit 15A	HUMAN	85602.8699999998
O75808	CAPN15	1086	Calpain-15	HUMAN	136862.37
O75815	BCAR3	825	Breast cancer anti-estrogen resistance protein 3	HUMAN	107411.31
O75817	POP7	140	Ribonuclease P protein subunit p20	HUMAN	18155.24
O75818	RPP40	363	Ribonuclease P protein subunit p40	HUMAN	48356.0400000001
O75820	ZNF189	626	Zinc finger protein 189	HUMAN	84235.9800000001
O75821	EIF3G	320	Eukaryotic translation initiation factor 3 subunit G	HUMAN	41358.33
O75822	EIF3J	258	Eukaryotic translation initiation factor 3 subunit J	HUMAN	33692.83
O75828	CBR3	277	Carbonyl reductase [NADPH] 3	HUMAN	35823
O75829	CNMD	334	Leukocyte cell-derived chemotaxin 1	HUMAN	43102.07
O75830	SERPINI2	405	Serpin I2	HUMAN	53423.73
O75832	PSMD10	226	26S proteasome non-ATPase regulatory subunit 10	HUMAN	28481.81
O75838	CIB2	187	Calcium and integrin-binding family member 2	HUMAN	24994.81
O75840	KLF7	302	Krueppel-like factor 7	HUMAN	38784.93
O75841	UPK1B	260	Uroplakin-1b	HUMAN	34309.74
O75843	AP1G2	785	AP-1 complex subunit gamma-like 2	HUMAN	101242.21
O75844	ZMPSTE24	475	CAAX prenyl protease 1 homolog	HUMAN	63352.9000000001
O75845	SC5D	299	Lathosterol oxidase	HUMAN	40669.84
O75864	PPP1R37	691	Protein phosphatase 1 regulatory subunit 37	HUMAN	87199.0100000002
O75865	TRAPPC6A	159	Trafficking protein particle complex subunit 6A	HUMAN	20451.27
O75871	CEACAM4	244	Carcinoembryonic antigen-related cell adhesion molecule 4	HUMAN	30287.47
O75874	IDH1	414	Isocitrate dehydrogenase [NADP] cytoplasmic	HUMAN	54100.38
O75879	GATB	557	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	HUMAN	71881.55
O75880	SCO1	301	Protein SCO1 homolog, mitochondrial	HUMAN	39219.03
O75881	CYP7B1	506	Cytochrome P450 7B1	HUMAN	67354.56
O75882	ATRN	1429	Attractin	HUMAN	184265.15
O75884	RBBP9	186	Serine hydrolase RBBP9	HUMAN	24333.07
O75886	STAM2	525	Signal transducing adapter molecule 2	HUMAN	67605.17
O75888	TNFSF13	250	Tumor necrosis factor ligand superfamily member 13	HUMAN	31919.53
O75891	ALDH1L1	902	Cytosolic 10-formyltetrahydrofolate dehydrogenase	HUMAN	115062.77
O75896	TUSC2	110	Tumor suppressor candidate 2	HUMAN	14037.63
O75897	SULT1C4	302	Sulfotransferase 1C4	HUMAN	40942.95
O75899	GABBR2	941	Gamma-aminobutyric acid type B receptor subunit 2	HUMAN	122757.41
O75900	MMP23B	390	Matrix metalloproteinase-23	HUMAN	50943.41
O75901	RASSF9	435	Ras association domain-containing protein 9	HUMAN	57839.94
O75907	DGAT1	488	Diacylglycerol O-acyltransferase 1	HUMAN	64052.6400000001
O75908	SOAT2	522	Sterol O-acyltransferase 2	HUMAN	69283.1800000001
O75909	CCNK	580	Cyclin-K	HUMAN	74671.2900000001
O75911	DHRS3	302	Short-chain dehydrogenase/reductase 3	HUMAN	38971.59
O75912	DGKI	1065	Diacylglycerol kinase iota	HUMAN	136167.48
O75914	PAK3	559	Serine/threonine-protein kinase PAK 3	HUMAN	72362.95
O75915	ARL6IP5	188	PRA1 family protein 3	HUMAN	24983.88
O75916	RGS9	674	Regulator of G-protein signaling 9	HUMAN	89091.44
O75920	SERF1B	110	Small EDRK-rich factor 1	HUMAN	14312.96
O75923	DYSF	2080	Dysferlin	HUMAN	274752.059999999
O75925	PIAS1	651	E3 SUMO-protein ligase PIAS1	HUMAN	83546.8799999998
O75928	PIAS2	621	E3 SUMO-protein ligase PIAS2	HUMAN	79410.7099999998
O75934	BCAS2	225	Pre-mRNA-splicing factor SPF27	HUMAN	30167.26
O75935	DCTN3	186	Dynactin subunit 3	HUMAN	24452.68
O75936	BBOX1	387	Gamma-butyrobetaine dioxygenase	HUMAN	51669.58
O75937	DNAJC8	253	DnaJ homolog subfamily C member 8	HUMAN	34381.82
O75940	SMNDC1	238	Survival of motor neuron-related-splicing factor 30	HUMAN	30981.12
O75943	RAD17	681	Cell cycle checkpoint protein RAD17	HUMAN	89306.1699999999
O75947	ATP5PD	161	ATP synthase subunit d, mitochondrial	HUMAN	21373.95
O75949	FAM155B	472	Transmembrane protein FAM155B	HUMAN	60963.2300000001
O75951	LYZL6	148	Lysozyme-like protein 6	HUMAN	19604.93
O75952	CABYR	493	Calcium-binding tyrosine phosphorylation-regulated protein	HUMAN	61638.1199999999
O75953	DNAJB5	348	DnaJ homolog subfamily B member 5	HUMAN	45385.25
O75954	TSPAN9	239	Tetraspanin-9	HUMAN	31067.11
O75955	FLOT1	427	Flotillin-1	HUMAN	55030.6499999999
O75956	CDK2AP2	126	Cyclin-dependent kinase 2-associated protein 2	HUMAN	15352.9
O75962	TRIO	3097	Triple functional domain protein	HUMAN	402680.700000002
O75964	ATP5MG	103	ATP synthase subunit g, mitochondrial	HUMAN	13266.21
O75969	AKAP3	853	A-kinase anchor protein 3	HUMAN	110101.37
O75970	MPDZ	2070	Multiple PDZ domain protein	HUMAN	258895.069999999
O75971	SNAPC5	98	snRNA-activating protein complex subunit 5	HUMAN	13076.07
O75973	C1QL1	258	C1q-related factor	HUMAN	31082.93
O75976	CPD	1380	Carboxypeptidase D	HUMAN	177776.259999999
O75995	SASH3	380	SAM and SH3 domain-containing protein 3	HUMAN	48423.74
O76000	OR2B3	313	Putative olfactory receptor 2B3	HUMAN	41163.86
O76001	OR2J3	311	Olfactory receptor 2J3	HUMAN	40535.71
O76002	OR2J2	312	Olfactory receptor 2J2	HUMAN	40807.43
O76003	GLRX3	335	Glutaredoxin-3	HUMAN	43449.71
O76009	KRT33A	404	Keratin, type I cuticular Ha3-I	HUMAN	53201.14
O76011	KRT34	436	Keratin, type I cuticular Ha4	HUMAN	57260.97
O76013	KRT36	467	Keratin, type I cuticular Ha6	HUMAN	60642.97
O76014	KRT37	449	Keratin, type I cuticular Ha7	HUMAN	57818.83
O76015	KRT38	456	Keratin, type I cuticular Ha8	HUMAN	58677.79
O76021	RSL1D1	490	Ribosomal L1 domain-containing protein 1	HUMAN	63782.52
O76024	WFS1	890	Wolframin	HUMAN	116308.54
O76027	ANXA9	345	Annexin A9	HUMAN	44561.55
O76031	CLPX	633	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	HUMAN	80610.5000000001
O76036	NCR1	304	Natural cytotoxicity triggering receptor 1	HUMAN	39939.57
O76038	SCGN	276	Secretagogin	HUMAN	36994.47
O76039	CDKL5	1030	Cyclin-dependent kinase-like 5	HUMAN	134076.57
O76041	NEBL	1014	Nebulette	HUMAN	134704.26
O76042	ERC2-IT1	136	Putative uncharacterized protein encoded by ERC2-IT1	HUMAN	17400.3
O76050	NEURL1	574	E3 ubiquitin-protein ligase NEURL1	HUMAN	72183.8199999999
O76054	SEC14L2	403	SEC14-like protein 2	HUMAN	53388.06
O76061	STC2	302	Stanniocalcin-2	HUMAN	38671.73
O76062	TM7SF2	418	Delta(14)-sterol reductase TM7SF2	HUMAN	53919.13
O76064	RNF8	485	E3 ubiquitin-protein ligase RNF8	HUMAN	64237.7300000001
O76070	SNCG	127	Gamma-synuclein	HUMAN	15600.9
O76071	CIAO1	339	Probable cytosolic iron-sulfur protein assembly protein CIAO1	HUMAN	43929.8200000001
O76074	PDE5A	875	cGMP-specific 3',5'-cyclic phosphodiesterase	HUMAN	115732.01
O76075	DFFB	338	DNA fragmentation factor subunit beta	HUMAN	45181.2400000001
O76076	CCN5	250	CCN family member 5	HUMAN	31311.25
O76080	ZFAND5	213	AN1-type zinc finger protein 5	HUMAN	26951.56
O76081	RGS20	388	Regulator of G-protein signaling 20	HUMAN	50664.28
O76082	SLC22A5	557	Solute carrier family 22 member 5	HUMAN	72769.12
O76083	PDE9A	593	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A	HUMAN	79158.5800000001
O76087	GAGE7	117	G antigen 7	HUMAN	15067.76
O76090	BEST1	585	Bestrophin-1	HUMAN	78205.52
O76093	FGF18	207	Fibroblast growth factor 18	HUMAN	27700.11
O76094	SRP72	671	Signal recognition particle subunit SRP72	HUMAN	86677.7400000002
O76095	JTB	146	Protein JTB	HUMAN	18970.66
O76096	CST7	145	Cystatin-F	HUMAN	19048.53
O76099	OR7C1	320	Olfactory receptor 7C1	HUMAN	41266.23
O76100	OR7A10	309	Olfactory receptor 7A10	HUMAN	39955.2
O77932	DXO	396	Decapping and exoribonuclease protein	HUMAN	52045.38
O94759	TRPM2	1503	Transient receptor potential cation channel subfamily M member 2	HUMAN	198259.869999999
O94760	DDAH1	285	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	HUMAN	36238.7
O94761	RECQL4	1208	ATP-dependent DNA helicase Q4	HUMAN	154813.49
O94762	RECQL5	991	ATP-dependent DNA helicase Q5	HUMAN	126694.98
O94763	URI1	535	Unconventional prefoldin RPB5 interactor 1	HUMAN	69453.19
O94766	B3GAT3	335	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	HUMAN	43139.5
O94768	STK17B	372	Serine/threonine-protein kinase 17B	HUMAN	49028.3
O94769	ECM2	699	Extracellular matrix protein 2	HUMAN	92364.9999999997
O94772	LY6H	140	Lymphocyte antigen 6H	HUMAN	17173.48
O94776	MTA2	668	Metastasis-associated protein MTA2	HUMAN	87040.33
O94777	DPM2	84	Dolichol phosphate-mannose biosynthesis regulatory protein	HUMAN	10807.8
O94778	AQP8	261	Aquaporin-8	HUMAN	32065.87
O94779	CNTN5	1100	Contactin-5	HUMAN	140486.38
O94782	USP1	785	Ubiquitin carboxyl-terminal hydrolase 1	HUMAN	102332.23
O94788	ALDH1A2	518	Retinal dehydrogenase 2	HUMAN	66038.77
O94804	STK10	968	Serine/threonine-protein kinase 10	HUMAN	129557.53
O94805	ACTL6B	426	Actin-like protein 6B	HUMAN	54534.68
O94806	PRKD3	890	Serine/threonine-protein kinase D3	HUMAN	116487.56
O94808	GFPT2	682	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	HUMAN	89200.2199999998
O94810	RGS11	467	Regulator of G-protein signaling 11	HUMAN	61341.8
O94811	TPPP	219	Tubulin polymerization-promoting protein	HUMAN	27621.37
O94812	BAIAP3	1187	BAI1-associated protein 3	HUMAN	153269.06
O94813	SLIT2	1529	Slit homolog 2 protein	HUMAN	197400.239999999
O94817	ATG12	140	Ubiquitin-like protein ATG12	HUMAN	17617.61
O94818	NOL4	638	Nucleolar protein 4	HUMAN	82833.2699999998
O94819	KBTBD11	623	Kelch repeat and BTB domain-containing protein 11	HUMAN	76926.42
O94822	LTN1	1766	E3 ubiquitin-protein ligase listerin	HUMAN	232351.999999998
O94823	ATP10B	1461	Probable phospholipid-transporting ATPase VB	HUMAN	191695.179999999
O94826	TOMM70	608	Mitochondrial import receptor subunit TOM70	HUMAN	78391.37
O94827	PLEKHG5	1062	Pleckstrin homology domain-containing family G member 5	HUMAN	136566.67
O94829	IPO13	963	Importin-13	HUMAN	125527.81
O94830	DDHD2	711	Phospholipase DDHD2	HUMAN	93823.66
O94832	MYO1D	1006	Unconventional myosin-Id	HUMAN	134309.2
O94842	TOX4	621	TOX high mobility group box family member 4	HUMAN	77365.1999999999
O94844	RHOBTB1	696	Rho-related BTB domain-containing protein 1	HUMAN	91939.0299999999
O94850	DDN	711	Dendrin	HUMAN	88787.35
O94851	MICAL2	1124	[F-actin]-monooxygenase MICAL2	HUMAN	146921.82
O94854	KIAA0754	1291	Uncharacterized protein KIAA0754	HUMAN	158389.88
O94855	SEC24D	1032	Protein transport protein Sec24D	HUMAN	131585.16
O94856	NFASC	1347	Neurofascin	HUMAN	174277.119999999
O94864	SUPT7L	414	STAGA complex 65 subunit gamma	HUMAN	53633.6399999999
O94868	FCHSD2	740	F-BAR and double SH3 domains protein 2	HUMAN	97590.8199999999
O94874	UFL1	794	E3 UFM1-protein ligase 1	HUMAN	103882.82
O94875	SORBS2	1100	Sorbin and SH3 domain-containing protein 2	HUMAN	143907.37
O94876	TMCC1	653	Transmembrane and coiled-coil domains protein 1	HUMAN	83830.0899999997
O94880	PHF14	888	PHD finger protein 14	HUMAN	116034.26
O94885	SASH1	1247	SAM and SH3 domain-containing protein 1	HUMAN	159101.62
O94886	TMEM63A	807	CSC1-like protein 1	HUMAN	106648.02
O94887	FARP2	1054	FERM, ARHGEF and pleckstrin domain-containing protein 2	HUMAN	138860.13
O94888	UBXN7	489	UBX domain-containing protein 7	HUMAN	63654.5499999999
O94889	KLHL18	574	Kelch-like protein 18	HUMAN	73962.2100000001
O94892	ZNF432	652	Zinc finger protein 432	HUMAN	86565.0300000002
O94898	LRIG2	1065	Leucine-rich repeats and immunoglobulin-like domains protein 2	HUMAN	138135.28
O94900	TOX	526	Thymocyte selection-associated high mobility group box protein TOX	HUMAN	66971.59
O94901	SUN1	812	SUN domain-containing protein 1	HUMAN	104675.76
O94903	PLPBP	275	Pyridoxal phosphate homeostasis protein	HUMAN	35280.58
O94905	ERLIN2	339	Erlin-2	HUMAN	43929.35
O94906	PRPF6	941	Pre-mRNA-processing factor 6	HUMAN	123861
O94907	DKK1	266	Dickkopf-related protein 1	HUMAN	33446.08
O94910	ADGRL1	1474	Adhesion G protein-coupled receptor L1	HUMAN	189255.57
O94911	ABCA8	1581	ATP-binding cassette sub-family A member 8	HUMAN	207712.259999999
O94913	PCF11	1555	Pre-mRNA cleavage complex 2 protein Pcf11	HUMAN	201047.8
O94915	FRYL	3013	Protein furry homolog-like	HUMAN	393864.81
O94916	NFAT5	1531	Nuclear factor of activated T-cells 5	HUMAN	193328.869999998
O94919	ENDOD1	500	Endonuclease domain-containing 1 protein	HUMAN	64007.1400000001
O94921	CDK14	469	Cyclin-dependent kinase 14	HUMAN	61488.7
O94923	GLCE	617	D-glucuronyl C5-epimerase	HUMAN	81199.3200000001
O94925	GLS	669	Glutaminase kidney isoform, mitochondrial	HUMAN	85496.49
O94927	HAUS5	633	HAUS augmin-like complex subunit 5	HUMAN	83069.4499999997
O94929	ABLIM3	683	Actin-binding LIM protein 3	HUMAN	90088.7899999998
O94933	SLITRK3	977	SLIT and NTRK-like protein 3	HUMAN	126518.34
O94941	UBOX5	541	RING finger protein 37	HUMAN	68694.77
O94952	FBXO21	628	F-box only protein 21	HUMAN	83566.8600000001
O94953	KDM4B	1096	Lysine-specific demethylase 4B	HUMAN	141624.94
O94955	RHOBTB3	611	Rho-related BTB domain-containing protein 3	HUMAN	80403.85
O94956	SLCO2B1	709	Solute carrier organic anion transporter family member 2B1	HUMAN	89466.8099999998
O94964	SOGA1	1423	Protein SOGA1	HUMAN	185379.88
O94966	USP19	1318	Ubiquitin carboxyl-terminal hydrolase 19	HUMAN	169378.88
O94967	WDR47	919	WD repeat-containing protein 47	HUMAN	118488.68
O94972	TRIM37	964	E3 ubiquitin-protein ligase TRIM37	HUMAN	125255.89
O94973	AP2A2	939	AP-2 complex subunit alpha-2	HUMAN	120860.42
O94979	SEC31A	1220	Protein transport protein Sec31A	HUMAN	154977.41
O94983	CAMTA2	1202	Calmodulin-binding transcription activator 2	HUMAN	153167.63
O94985	CLSTN1	981	Calsyntenin-1	HUMAN	127449.31
O94986	CEP152	1710	Centrosomal protein of 152 kDa	HUMAN	226417.519999999
O94988	FAM13A	1023	Protein FAM13A	HUMAN	135344.65
O94989	ARHGEF15	841	Rho guanine nucleotide exchange factor 15	HUMAN	107073.9
O94991	SLITRK5	958	SLIT and NTRK-like protein 5	HUMAN	124727.85
O94992	HEXIM1	359	Protein HEXIM1	HUMAN	47073.4099999999
O94993	SOX30	753	Transcription factor SOX-30	HUMAN	95402.5
O95006	OR2F2	317	Olfactory receptor 2F2	HUMAN	40987.33
O95007	OR6B1	311	Olfactory receptor 6B1	HUMAN	40884.81
O95013	OR4F21	312	Olfactory receptor 4F21	HUMAN	40697.12
O95025	SEMA3D	777	Semaphorin-3D	HUMAN	103632.48
O95045	UPP2	317	Uridine phosphorylase 2	HUMAN	41220.76
O95047	OR2A4	310	Olfactory receptor 2A4	HUMAN	40369.36
O95049	TJP3	919	Tight junction protein ZO-3	HUMAN	117936.22
O95050	INMT	263	Indolethylamine N-methyltransferase	HUMAN	33611.57
O95057	DIRAS1	198	GTP-binding protein Di-Ras1	HUMAN	25878.05
O95059	RPP14	124	Ribonuclease P protein subunit p14	HUMAN	15909.18
O95067	CCNB2	398	G2/mitotic-specific cyclin-B2	HUMAN	52434.3300000001
O95069	KCNK2	426	Potassium channel subfamily K member 2	HUMAN	54749.98
O95070	YIF1A	293	Protein YIF1A	HUMAN	37272.2
O95071	UBR5	2799	E3 ubiquitin-protein ligase UBR5	HUMAN	359763.480000001
O95072	REC8	547	Meiotic recombination protein REC8 homolog	HUMAN	72450.7799999998
O95073	FSBP	299	Fibrinogen silencer-binding protein	HUMAN	40136.7
O95076	ALX3	343	Homeobox protein aristaless-like 3	HUMAN	43096.32
O95081	AGFG2	481	Arf-GAP domain and FG repeat-containing protein 2	HUMAN	57610.9499999999
O95084	PRSS23	383	Serine protease 23	HUMAN	49883.7
O95096	NKX2-2	273	Homeobox protein Nkx-2.2	HUMAN	35033.12
O95104	SCAF4	1147	SR-related and CTD-associated factor 4	HUMAN	146515.36
O95125	ZNF202	648	Zinc finger protein 202	HUMAN	86377.0300000001
O95136	S1PR2	353	Sphingosine 1-phosphate receptor 2	HUMAN	45209.03
O95139	NDUFB6	128	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6	HUMAN	17777.26
O95140	MFN2	757	Mitofusin-2	HUMAN	100022.88
O95147	DUSP14	198	Dual specificity protein phosphatase 14	HUMAN	25804.27
O95149	SNUPN	360	Snurportin-1	HUMAN	47610.52
O95150	TNFSF15	251	Tumor necrosis factor ligand superfamily member 15	HUMAN	32591.38
O95153	TSPOAP1	1857	Peripheral-type benzodiazepine receptor-associated protein 1	HUMAN	233489.910000001
O95154	AKR7A3	331	Aflatoxin B1 aldehyde reductase member 3	HUMAN	43152.02
O95155	UBE4B	1302	Ubiquitin conjugation factor E4 B	HUMAN	169624.499999999
O95156	NXPH2	264	Neurexophilin-2	HUMAN	34675.95
O95157	NXPH3	252	Neurexophilin-3	HUMAN	32649.13
O95158	NXPH4	308	Neurexophilin-4	HUMAN	38596.42
O95159	ZFPL1	310	Zinc finger protein-like 1	HUMAN	39681.27
O95163	ELP1	1332	Elongator complex protein 1	HUMAN	174234.98
O95164	UBL3	117	Ubiquitin-like protein 3	HUMAN	15246.99
O95166	GABARAP	117	Gamma-aminobutyric acid receptor-associated protein	HUMAN	16007.96
O95167	NDUFA3	84	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	HUMAN	10774.24
O95168	NDUFB4	129	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	HUMAN	17514.71
O95169	NDUFB8	186	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial	HUMAN	25098.82
O95170	CDRT1	752	CMT1A duplicated region transcript 1 protein	HUMAN	98900.55
O95171	SCEL	688	Sciellin	HUMAN	89929.1199999998
O95177	GAS8-AS1	125	Uncharacterized protein GAS8-AS1	HUMAN	14853.37
O95178	NDUFB2	105	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial	HUMAN	13932.17
O95180	CACNA1H	2353	Voltage-dependent T-type calcium channel subunit alpha-1H	HUMAN	301538.35
O95182	NDUFA7	113	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	HUMAN	14569.24
O95183	VAMP5	116	Vesicle-associated membrane protein 5	HUMAN	14876.81
O95185	UNC5C	931	Netrin receptor UNC5C	HUMAN	119901.79
O95190	OAZ2	189	Ornithine decarboxylase antizyme 2	HUMAN	24398.34
O95196	CSPG5	566	Chondroitin sulfate proteoglycan 5	HUMAN	70195.82
O95197	RTN3	1032	Reticulon-3	HUMAN	131186.25
O95198	KLHL2	593	Kelch-like protein 2	HUMAN	76640.72
O95199	RCBTB2	551	RCC1 and BTB domain-containing protein 2	HUMAN	70224.6500000001
O95201	ZNF205	554	Zinc finger protein 205	HUMAN	70593.0600000001
O95202	LETM1	739	Mitochondrial proton/calcium exchanger protein	HUMAN	96650.6999999999
O95206	PCDH8	1070	Protocadherin-8	HUMAN	132278.7
O95208	EPN2	641	Epsin-2	HUMAN	80012.2499999999
O95210	STBD1	358	Starch-binding domain-containing protein 1	HUMAN	45439.2800000001
O95214	LEPROTL1	131	Leptin receptor overlapping transcript-like 1	HUMAN	16770.5
O95218	ZRANB2	330	Zinc finger Ran-binding domain-containing protein 2	HUMAN	43331.4099999999
O95219	SNX4	450	Sorting nexin-4	HUMAN	59998.42
O95221	OR5F1	314	Olfactory receptor 5F1	HUMAN	40770.85
O95222	OR6A2	327	Olfactory receptor 6A2	HUMAN	42027.6
O95229	ZWINT	277	ZW10 interactor	HUMAN	36266.25
O95231	VENTX	258	Homeobox protein VENTX	HUMAN	32182.59
O95232	LUC7L3	432	Luc7-like protein 3	HUMAN	59231.0399999998
O95235	KIF20A	890	Kinesin-like protein KIF20A	HUMAN	116295.05
O95236	APOL3	402	Apolipoprotein L3	HUMAN	51502.97
O95237	LRAT	230	Lecithin retinol acyltransferase	HUMAN	29828.82
O95238	SPDEF	335	SAM pointed domain-containing Ets transcription factor	HUMAN	43535.2
O95239	KIF4A	1232	Chromosome-associated kinesin KIF4A	HUMAN	162059.969999999
O95243	MBD4	580	Methyl-CpG-binding domain protein 4	HUMAN	76482.4299999999
O95248	SBF1	1868	Myotubularin-related protein 5	HUMAN	242080.71
O95249	GOSR1	250	Golgi SNAP receptor complex member 1	HUMAN	33098.81
O95251	KAT7	611	Histone acetyltransferase KAT7	HUMAN	81632.3999999999
O95255	ABCC6	1503	Multidrug resistance-associated protein 6	HUMAN	191968.279999999
O95256	IL18RAP	599	Interleukin-18 receptor accessory protein	HUMAN	79083.6599999999
O95257	GADD45G	159	Growth arrest and DNA damage-inducible protein GADD45 gamma	HUMAN	19968.04
O95258	SLC25A14	325	Brain mitochondrial carrier protein 1	HUMAN	42039.2000000001
O95259	KCNH1	989	Potassium voltage-gated channel subfamily H member 1	HUMAN	129223.51
O95260	ATE1	518	Arginyl-tRNA--protein transferase 1	HUMAN	68404.8
O95263	PDE8B	885	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B	HUMAN	114905.98
O95264	HTR3B	441	5-hydroxytryptamine receptor 3B	HUMAN	58219.29
O95267	RASGRP1	797	RAS guanyl-releasing protein 1	HUMAN	104743.28
O95271	TNKS	1327	Poly [ADP-ribose] polymerase tankyrase-1	HUMAN	165930.45
O95273	CCNDBP1	360	Cyclin-D1-binding protein 1	HUMAN	46730.22
O95274	LYPD3	346	Ly6/PLAUR domain-containing protein 3	HUMAN	42186.64
O95279	KCNK5	499	Potassium channel subfamily K member 5	HUMAN	64102.2699999999
O95292	VAPB	243	Vesicle-associated membrane protein-associated protein B/C	HUMAN	31588.44
O95294	RASAL1	804	RasGAP-activating-like protein 1	HUMAN	104484.01
O95295	SNAPIN	136	SNARE-associated protein Snapin	HUMAN	17306.3
O95297	MPZL1	269	Myelin protein zero-like protein 1	HUMAN	33910.72
O95298	NDUFC2	119	NADH dehydrogenase [ubiquinone] 1 subunit C2	HUMAN	16313.48
O95299	NDUFA10	355	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	HUMAN	47128.6200000001
O95302	FKBP9	570	Peptidyl-prolyl cis-trans isomerase FKBP9	HUMAN	73335.2600000001
O95319	CELF2	508	CUGBP Elav-like family member 2	HUMAN	63419.54
O95336	PGLS	258	6-phosphogluconolactonase	HUMAN	32177.33
O95340	PAPSS2	614	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	HUMAN	80545.1400000002
O95342	ABCB11	1321	Bile salt export pump	HUMAN	170189.789999999
O95343	SIX3	332	Homeobox protein SIX3	HUMAN	41450.1499999999
O95347	SMC2	1197	Structural maintenance of chromosomes protein 2	HUMAN	157204.56
O95352	ATG7	703	Ubiquitin-like modifier-activating enzyme ATG7	HUMAN	90607.6899999999
O95359	TACC2	2948	Transforming acidic coiled-coil-containing protein 2	HUMAN	362522.600000003
O95361	TRIM16	564	Tripartite motif-containing protein 16	HUMAN	74098.6500000001
O95363	FARS2	451	Phenylalanine--tRNA ligase, mitochondrial	HUMAN	60464.2200000001
O95365	ZBTB7A	584	Zinc finger and BTB domain-containing protein 7A	HUMAN	71943.2400000001
O95371	OR2C1	312	Olfactory receptor 2C1	HUMAN	40015.31
O95372	LYPLA2	231	Acyl-protein thioesterase 2	HUMAN	28880.95
O95373	IPO7	1038	Importin-7	HUMAN	138200.59
O95376	ARIH2	493	E3 ubiquitin-protein ligase ARIH2	HUMAN	66683.2400000002
O95377	GJB5	273	Gap junction beta-5 protein	HUMAN	35988.96
O95379	TNFAIP8	198	Tumor necrosis factor alpha-induced protein 8	HUMAN	26552.83
O95382	MAP3K6	1288	Mitogen-activated protein kinase kinase kinase 6	HUMAN	165783.95
O95388	CCN4	367	CCN family member 4	HUMAN	46925.4800000001
O95389	CCN6	354	Cellular communication network factor 6	HUMAN	45652.86
O95390	GDF11	407	Growth/differentiation factor 11	HUMAN	52405.72
O95391	SLU7	586	Pre-mRNA-splicing factor SLU7	HUMAN	78926.4100000001
